18.5;78.5;22.7;71.6;31.9;72.6;26.7;36.0;93.5;23.4;
83.5;64.2;85.4;27.9;80.8;7.5;68.4;90.4;32.1;25.3;
55.0;11.6;3.5;22.6;91.6;87.6;14.3;71.7;53.4;49.4;
4.8;38.9;37.4;42.6;83.3;21.6;33.9;56.1;30.2;11.2;
89.8;87.2;86.1;93.2;23.6;6.8;8.2;1.5;43.6;13.6;
50.2;47.3;41.9;36.3;58.1;81.7;55.2;63.2;95.8;23.0;
71.8;59.7;92.4;26.2;57.0;75.7;13.4;5.5;82.3;16.0;
53.7;96.1;21.8;93.2;56.8;34.4;23.8;79.0;73.9;92.1;
23.0;94.3;72.2;22.0;42.4;6.0;62.3;7.8;51.0;20.0;
47.8;53.3;92.8;89.3;38.6;3.2;66.0;93.2;45.5;86.6;
